2020-05-27,4.263355091637959
2020-05-28,4.89242739402611
2020-05-29,15.529062980007197
2020-05-30,4.018791647178081
2020-05-31,0.151289040679343
2020-06-01,1.3025780814721717
2020-06-02,7.059023285300405
2020-06-03,4.018792034332886
2020-06-04,-0.1300493418395865
2020-06-05,0.47310689102215786
2020-06-06,0.05267093669396106
2020-06-07,2.411015616265766
2020-06-08,434.9283648473757
2020-06-09,468983.1625152931
2020-06-10,446609390.3267664
2020-06-11,501734028937.9835
2020-06-12,2.845654364402868e+16
2020-06-13,3.522009699076001e+21
2020-06-14,8.873281649131844e+27
2020-06-15,4.160749005619234e+36
2020-06-16,7.723579504737286e+46
2020-06-17,6.0444915677636466e+57
2020-06-18,2.6261890800906288e+69
2020-06-19,2.743379170024539e+83
2020-06-20,2.9772942086321734e+98
2020-06-21,3.1163147597440984e+115
2020-06-22,2.9021419362686985e+135
2020-06-23,5.0920765552124006e+157
2020-06-24,1.7955326378470793e+181
2020-06-25,1.6673034445128744e+206
2020-06-26,1.77194414877524e+234
2020-06-27,9.31171349662214e+263
