date,value
3/9/2020,1.715692308
3/10/2020,1.916448303
3/11/2020,2.932797115
3/12/2020,5.269681569
3/13/2020,7.863756372
3/14/2020,8.791153127
3/15/2020,10.81231492
3/16/2020,15.17960345
3/17/2020,15.27820304
3/18/2020,19.58586904
3/19/2020,29.80911678
3/20/2020,39.93250213
3/21/2020,41.53551157
3/22/2020,47.32488023
3/23/2020,61.39822157
3/24/2020,58.24203735
3/25/2020,69.77217339
3/26/2020,99.15969539
3/27/2020,124.9659239
3/28/2020,123.0389545
3/29/2020,132.6747848
3/30/2020,162.8980574
3/31/2020,146.9125704
4/1/2020,167.1364031
4/2/2020,225.6558604
4/3/2020,270.8018378
4/4/2020,254.4661608
4/5/2020,262.0579106
4/6/2020,307.4983778
4/7/2020,265.5704377
4/8/2020,289.433757
4/9/2020,374.6482321
4/10/2020,431.6597138
4/11/2020,389.9828799
4/12/2020,386.4865508
4/13/2020,436.8140309
4/14/2020,363.8639175
4/15/2020,382.7945313
4/16/2020,478.7515796
4/17/2020,533.583456
4/18/2020,466.8551402
4/19/2020,448.5163811
4/20/2020,491.9063433
4/21/2020,398.0635922
4/22/2020,407.2226044
4/23/2020,495.7665826
4/24/2020,538.4358233
4/25/2020,459.5476831
4/26/2020,431.1139261
4/27/2020,462.1880092
4/28/2020,365.9659644
4/29/2020,366.7241237
4/30/2020,437.8028677
5/1/2020,466.7345987
5/2/2020,391.3986992
5/3/2020,361.1554975
5/4/2020,381.2509788
5/5/2020,297.5122651
5/6/2020,294.1577755
5/7/2020,346.8947649
5/8/2020,365.6695783
5/9/2020,303.4742052
5/10/2020,277.4301164
5/11/2020,290.4865568
5/12/2020,225.0120102
5/13/2020,221.1128055
5/14/2020,259.476118
5/15/2020,272.4299992
5/16/2020,225.3725011
5/17/2020,205.6054966
5/18/2020,215.0962887
5/19/2020,166.5768523
5/20/2020,163.8771446
5/21/2020,192.7803504
5/22/2020,203.0767694
5/23/2020,168.6786807
5/24/2020,154.6869813
5/25/2020,162.8759298
5/26/2020,127.0235719
5/27/2020,126.0267061
5/28/2020,149.7140015
5/29/2020,159.3974043
5/30/2020,133.9091986
5/31/2020,124.3509752
6/1/2020,132.752633
6/2/2020,105.032617
6/3/2020,105.8704316
6/4/2020,127.9376439
6/5/2020,138.6811125
6/6/2020,118.714498
6/7/2020,112.4614572
6/8/2020,122.6200886
6/9/2020,99.17120043
6/10/2020,102.3066469
6/11/2020,126.6639724
6/12/2020,140.8060784
6/13/2020,123.7449765
6/14/2020,120.4771085
6/15/2020,135.1305278
6/16/2020,112.5743767
6/17/2020,119.7222641
6/18/2020,152.9216463
6/19/2020,175.5830645
6/20/2020,159.6019232
6/21/2020,160.8624882
6/22/2020,186.9238936
6/23/2020,161.60435
6/24/2020,178.4382854
6/25/2020,236.768324
