date,value
2020-03-09,1.7643459567347302
2020-03-10,1.963872839370116
2020-03-11,2.9911013602685883
2020-03-12,5.354993448341033
2020-03-13,7.740939783016655
2020-03-14,8.800239396795709
2020-03-15,10.876122029236553
2020-03-16,15.230354857432147
2020-03-17,15.322001499491122
2020-03-18,19.635739319257247
2020-03-19,29.88097584058258
2020-03-20,38.95930018116343
2020-03-21,41.19057757406731
2020-03-22,47.19563229288908
2020-03-23,61.151339746526226
2020-03-24,58.03649229158379
2020-03-25,69.57112190558887
2020-03-26,98.95236274646219
2020-03-27,121.53218761585896
2020-03-28,121.69115435441294
2020-03-29,132.04732167508706
2020-03-30,162.03649307571106
2020-03-31,146.30787205062802
2020-04-01,166.66357265449656
2020-04-02,225.33214903097158
2020-04-03,263.7159205550467
2020-04-04,252.13664666109463
2020-04-05,261.41883683109484
2020-04-06,306.7201946887132
2020-04-07,265.326656541026
2020-04-08,289.656546235664
2020-04-09,375.5958719209774
2020-04-10,422.1871665237793
2020-04-11,388.1936747645468
2020-04-12,387.4179432046748
2020-04-13,437.9236759880173
2020-04-14,365.4473465695299
2020-04-15,385.16791921851814
2020-04-16,482.62192514360777
2020-04-17,524.8143837680892
2020-04-18,467.34997081251225
2020-04-19,452.1520646063407
2020-04-20,495.9455949621689
2020-04-21,402.0340896747975
2020-04-22,412.001813567222
2020-04-23,502.4571565404773
2020-04-24,532.3410034639702
2020-04-25,462.33401808885793
2020-04-26,436.67731260670047
2020-04-27,468.07307351303854
2020-04-28,371.16046004070165
2020-04-29,372.44994620568383
2020-04-30,445.2417079095667
2020-05-01,462.8472819521061
2020-05-02,394.7872827774253
2020-05-03,366.58221727857165
2020-05-04,386.71176099204723
2020-05-05,302.04136894017677
2020-05-06,298.87655434636645
2020-05-07,352.7153405153706
2020-05-08,362.30182692890094
2020-05-09,305.618556437438
2020-05-10,280.9488512442823
2020-05-11,293.74011782221646
2020-05-12,227.55032428963932
2020-05-13,223.59872357291772
2020-05-14,262.3532729511091
2020-05-15,268.15822982705674
2020-05-16,225.27104214911952
2020-05-17,206.45625641045893
2020-05-18,215.4493713165143
2020-05-19,166.68529931412243
2020-05-20,163.79791353516572
2020-05-21,192.4414886775456
2020-05-22,197.1163204853529
2020-05-23,166.06229973654274
2020-05-24,152.79708614682335
2020-05-25,160.28173828781402
2020-05-26,124.70899588238447
2020-05-27,123.42303192546031
2020-05-28,146.2351844725693
2020-05-29,151.17045683914054
2020-05-30,128.6199538032237
2020-05-31,119.65908677642008
2020-06-01,127.07101337215335
2020-06-02,100.13953099465766
2020-06-03,100.52651749303959
2020-06-04,120.96905243715086
2020-06-05,127.10407027931214
2020-06-06,110.00286551569585
2020-06-07,104.21733779159881
2020-06-08,112.83564489946725
2020-06-09,90.7241544294233
2020-06-10,93.04004538378823
2020-06-11,114.50180026205004
2020-06-12,123.14893529061172
2020-06-13,109.20224235767309
2020-06-14,106.11614271363919
2020-06-15,117.95767490993721
2020-06-16,97.48717817094844
2020-06-17,102.85461356783595
2020-06-18,130.32696507078444
2020-06-19,144.47740593445627
2020-06-20,132.21881887236464
2020-06-21,132.71738500014072
2020-06-22,152.5035497630334
2020-06-23,130.50245490688278
2020-06-24,142.62940925291227
2020-06-25,187.30857897610923
2020-06-26,215.49385234414854
2020-06-27,204.96082595611207
